"","Estimate","Std.err.","t-ratio(0)","p-val(0)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"neither_mu",-0.47544477819389,0.425806407025493,-1.11657497479935,0.264176096608574,0.495678845869113,-0.959179077655119,0.337468538658216
"permhc_mu",3.86047453914734,0.379865465915952,10.1627415112315,0,0.51105770290771,7.55389169790967,4.21884749357559e-14
"dist5_mu",-0.723669605123054,0.307183505544689,-2.35582182005464,0.0184817803351389,0.347307987872044,-2.08365378970112,0.0371916704224557
"dist15_mu",-1.27832617951382,0.316844439890248,-4.03455455919194,5.47059781319525e-05,0.353632587048874,-3.61484271057051,0.000300530025556522
"avail_mu",0.436228249781932,0.0597579381091649,7.29992137588545,2.87991852587766e-13,0.0760390713743564,5.73689607063043,9.6427386075959e-09
"somepriv_mu",-0.504992956600988,0.194900057806533,-2.59103543777431,0.0095687637434152,0.196166480198314,-2.57430808816301,0.0100440790532415
"notpriv_mu",-0.549337848288041,0.187593775340328,-2.92833729312951,0.00340780140483132,0.221125293737778,-2.48428318173079,0.0129812532236917
"device_mu",-2.89962443941465,0.307311811709482,-9.4354474150698,0,0.456361618566518,-6.35378682484888,2.10077955031807e-10
"voucher_mu",1.49044844921874,0.418328417984778,3.56286684131741,0.000366826774591988,0.424424620300721,3.51169177735895,0.000445264075813245
"cash_mu",2.49927431619979,0.512803907512197,4.87374273009092,1.0950357576256e-06,0.60683714198285,4.11852561963061,3.81304183221243e-05
"pricenone_mu",-0.00171332202429116,0.0586021919621931,-0.0292364836010997,0.976675983955713,0.0638009297557391,-0.0268541858378958,0.978576034730396
"pricevoucher_mu",-0.124200734036381,0.0502442939418419,-2.47193709558629,0.0134383160005365,0.0494081427307959,-2.51377054816851,0.0119448120065875
"pricecash_mu",-0.136763730689136,0.0540311759967113,-2.53120033325686,0.0113672903515072,0.0597580003792356,-2.288626289722,0.022101075062239
"s0101",-4.07151356700614,0.549864219556456,-7.40457993482535,1.31672450720544e-13,0.733954203631334,-5.54736732463932,2.90003066005795e-08
"s0201",-3.86079003559571,0.522535675398112,-7.38856735983477,1.48325796089921e-13,0.852576532294131,-4.52837943498986,5.94377792406675e-06
"s0202",-2.76201579169413,0.392878839369527,-7.03019739145655,2.06235029054369e-12,0.500946197916453,-5.51359767412542,3.51571776135984e-08
"s0301",1.73576406259455,0.466121090582935,3.72384793922066,0.000196209132150349,0.66101916634193,2.62589067152204,0.0086422570728526
"s0302",0.030568379345409,0.365534014005665,0.0836266343873959,0.933353289927085,0.396203048569896,0.0771533168554514,0.938501578645407
"s0303",0.500881724433929,0.307447046991117,1.62916420676632,0.103278261956716,0.369720954577539,1.35475611601799,0.175495272472968
"s0401",1.63631539858809,0.449357069579513,3.64145911873441,0.000271097179202817,0.558959688140098,2.92743006930039,0.00341775911040521
"s0402",0.109443470371878,0.384859661582511,0.284372412327796,0.776124998426635,0.505098800989386,0.216677351356804,0.828459799695313
"s0403",0.0219235856243341,0.373979968212532,0.0586223527669668,0.953252906364568,0.598799272385898,0.0366125789314676,0.970793913718778
"s0404",0.0940608694556451,0.255638718932345,0.367944534570049,0.712914592227972,0.335931458231144,0.280000182033933,0.779477365229685
"s0501",-0.229240089241882,0.0648812154113286,-3.53322741857661,0.000410519174312896,0.085569506359438,-2.67899277435293,0.00738439873397678
"s0502",0.119122409426948,0.0566873908098768,2.10139164503923,0.0356066007667619,0.0766681418056185,1.55374066230752,0.120246289585146
"s0503",0.299281883121959,0.0653952842784102,4.57650557565915,4.72807113305329e-06,0.104293366164435,2.86961572081291,0.00410970920530418
"s0504",-0.295497069840612,0.0702069242013385,-4.20894481850807,2.56566031779926e-05,0.0795165213042521,-3.7161719978916,0.000202263919739432
"s0505",-0.335016929061456,0.0548225280495571,-6.1109354307524,9.90488357999197e-10,0.0625200633126417,-5.35855070053511,8.38921954127159e-08
"s0601",0.0304940206743474,0.220220801415347,0.138470210254272,0.889868811563378,0.23121908663019,0.131883665482683,0.895076308821648
"s0602",0.0668487967210405,0.210579910985032,0.317450968652904,0.750901438146826,0.216661594421478,0.308540130979548,0.757671368558492
"s0603",0.465584939954716,0.237123989131501,1.96346620879644,0.0495920271654333,0.310417886203309,1.49986505497231,0.133649361586719
"s0604",0.467048266739414,0.271486862094985,1.72033468999324,0.0853716211668347,0.263120039680738,1.77503875153757,0.0758914888882769
"s0605",1.23770470660361,0.255730875924636,4.83987200266097,1.29922779579239e-06,0.39814173101647,3.10870378607063,0.00187910007837178
"s0606",1.32260674250427,0.231828789497873,5.70510136109048,1.16273874972705e-08,0.305087456971792,4.33517246376524,1.4564588827648e-05
"s0701",-0.241024763511245,0.216419635920735,-1.11369175207153,0.265411448910142,0.281354822190293,-0.856657659658769,0.391634109514938
"s0702",0.11672124114456,0.198847948519885,0.586987404262246,0.557212166184011,0.218133883006994,0.535089916043981,0.592587682564838
"s0703",0.662448182539271,0.234311409916874,2.82721265163437,0.00469551351952258,0.335206312465952,1.97624017777576,0.0481275813976909
"s0704",0.0162104985545202,0.261977511845758,0.0618774429923753,0.950660430952885,0.334516100759917,0.0484595465440825,0.961350003723159
"s0705",1.41172795405821,0.250372317987355,5.63851453469994,1.71523344416613e-08,0.405953342052041,3.47756209352069,0.000505995837438489
"s0706",0.764577953211777,0.260828822089099,2.93133997649461,0.00337503198014977,0.457766220034755,1.67023672728348,0.0948725361472902
"s0707",0.205738145920571,0.172873351830269,1.19010908125719,0.234003521422652,0.234070217914089,0.878959090797633,0.379423457393534
"s0801",2.27230939057124,0.251756781362168,9.02581204874231,0,0.322024447208224,7.0563257239347,1.70952141331782e-12
"s0802",0.380470694572056,0.189305333255482,2.00982554494955,0.0444496561494836,0.194835645470572,1.95277765345829,0.0508459475671994
"s0803",1.72947512940631,0.28423887870745,6.08458328174857,1.16794685034449e-09,0.39995331170818,4.3241925464245,1.53091544250472e-05
"s0804",5.87008477228768,0.570619508563244,10.2872136059068,0,0.966164438512947,6.0756580746467,1.23480270453058e-09
"s0805",-0.0136665231626218,0.2492067641986,-0.0548400971641787,0.956265855532978,0.391119254797121,-0.0349420873429276,0.972125920242714
"s0806",-1.58401262857267,0.242703938132345,-6.52652215189403,6.73143762952577e-11,0.329638241711959,-4.80530602379804,1.54514981165477e-06
"s0807",-0.958427060457747,0.176504161005445,-5.43005363158652,5.63371189699069e-08,0.204189715773507,-4.69380672198428,2.68167414185783e-06
