"","Estimate","Std.err.","t-ratio(0)","p-val(0)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"neither_C1",0.138996773982048,1.16168133807624,0.119651378933424,0.90475931754168,10.5380807310899,0.0131899515223843,0.989476246468126
"permhc_C1",3.21613474086858,0.971377316162629,3.31090163148315,0.000929958931286556,9.14508881139682,0.351678896421493,0.725079089007235
"dist5_C1",-0.783536616259088,0.428445805762707,-1.82878815878302,0.0674313495518539,3.16003797417127,-0.24795164572811,0.80417181976415
"dist15_C1",-0.870548061146199,0.558673838543491,-1.55824024875729,0.11917630719574,4.16922842078029,-0.208803158111273,0.83460190586234
"avail_C1",0.271621970476873,0.174360878897348,1.55781487335118,0.11927713919973,1.60761155700776,0.16895995135942,0.865828142618668
"somepriv_C1",-0.36851450994931,0.224048345967788,-1.64479906494061,0.100011255080899,0.491937537581524,-0.749108335503345,0.453791911404311
"notpriv_C1",-0.429505302197362,0.285987340487281,-1.50183326809343,0.133140174191804,0.81065494650525,-0.529825055714479,0.596233231486221
"device_C1",-4.67145325116862,0.587835378635912,-7.94687325898766,1.99840144432528e-15,5.34040043452724,-0.874738384965726,0.381716269352682
"voucher_C1",1.88047102425023,0.529653549843204,3.55037934666334,0.000384676415948748,1.46258055527275,1.28572133512301,0.198540332564898
"cash_C1",1.52238713486061,1.35113523664358,1.12674667462781,0.259849602260176,11.701392213007,0.130103077236259,0.896484875533649
"pricenone_C1",0.0183136247248071,0.10566464800148,0.173318371576371,0.862401183790406,0.752386547316603,0.0243407126165704,0.980580838769247
"pricevoucher_C1",0.0763443813974952,0.0733982210530853,1.0401393971426,0.298275142279005,0.477447417892873,0.159901129499092,0.872958958757445
"pricecash_C1",-0.0110290116434919,0.0927270991449036,-0.118940544298242,0.905322460031007,0.73427190647354,-0.0150203372160328,0.988015955460076
"neither_C2",0.107945932195873,NA,NA,NA,4.42788439690093,0.0243786699290127,0.98055056219999
"permhc_C2",0.509652238257657,0.355472117909555,1.43373337198652,0.151648364983181,2.22003732311459,0.229569220729426,0.818426526410239
"dist5_C2",0.758381545396194,0.424969815602318,1.784553908426,0.0743337032881617,4.53759851442788,0.167132800089039,0.867265558236166
"dist15_C2",0.50065150246244,0.582175417278473,0.859966751607038,0.389807370493222,4.8642825427664,0.102924017686216,0.918023275570893
"avail_C2",-0.11541941344766,0.0726438455481805,-1.58883953040604,0.112096626064699,0.212358443193527,-0.543512241434524,0.586777164763333
"somepriv_C2",0.329158767157285,0.245055642425988,1.34320011528279,0.179207184356966,0.452904138110848,0.72677359171473,0.46736466310422
"notpriv_C2",0.101842698607982,0.185181082626405,0.549962756257589,0.582344918863517,0.55638400203193,0.183043901758587,0.85476357187238
"device_C2",3.2547411035229,0.458366931865819,7.10073279124701,1.241007296926e-12,3.75737044755809,0.866228429948438,0.386364905578073
"voucher_C2",-1.00172898156379,1.11007038153389,-0.902401323580585,0.366843718263155,11.3744388133054,-0.0880684311556544,0.9298222871479
"cash_C2",-0.291309344649143,NA,NA,NA,5.37059923863027,-0.054241497401962,0.95674275918417
"pricenone_C2",-0.294548581259474,0.071195623129154,-4.137172600135,3.51611624367365e-05,0.568957257842931,-0.517698961036522,0.604668323260336
"pricevoucher_C2",0.0180621283467012,0.128578711343457,0.140475263424083,0.888284495608509,1.05874916472104,0.0170598749435238,0.986388849406569
"pricecash_C2",0.100463832051464,0.0585317948390563,1.71639759771091,0.0860892959633801,0.275801164360941,0.364261812615072,0.715662512969161
"neither_C3",-1.49976088554178,0.234146444779712,-6.40522595571661,1.50146783894911e-10,0.455829265618513,-3.29018121183324,0.00100122880678799
"permhc_C3",1.1931873471518,0.12748579217659,9.35937508627655,0,0.301545790539199,3.95690268140784,7.59278452027168e-05
"dist5_C3",-0.272789441446248,0.170134233600994,-1.6033777310568,0.108851284484425,0.265317506951081,-1.0281622369403,0.303873518673023
"dist15_C3",-0.420287611638029,0.150439366212608,-2.79373426131069,0.00521032753480744,0.213128661187813,-1.97199010820822,0.04861073574369
"avail_C3",0.156707572178109,0.0211472903194858,7.41029086046608,1.26121335597418e-13,0.0718225213561756,2.18187233223099,0.0291189563297094
"somepriv_C3",-0.157449956795981,0.0791198641572708,-1.99001803748057,0.0465889485668216,0.258755826040607,-0.608488547698524,0.542863499267879
"notpriv_C3",-0.274584517677308,0.0748498397943421,-3.66847168186008,0.00024400471403796,0.168009159860117,-1.63434254362039,0.102186945309677
"device_C3",-0.254558455739789,0.0789677186801276,-3.22357616497599,0.00126600626016904,0.364958381629479,-0.697499957675249,0.485489965871082
"voucher_C3",0.269540518083244,0.189587834363202,1.42171842928947,0.155108007861664,0.627000673997156,0.429888721434558,0.667276590182791
"cash_C3",0.67889332491528,0.206451601384656,3.28838972602776,0.00100762249397079,0.370533482237959,1.83220507041598,0.0669208737407845
"pricenone_C3",-0.00460935647427355,0.0245151274349088,-0.188020906132838,0.850860262723453,0.0630542014579493,-0.0731014962951758,0.941725350974825
"pricevoucher_C3",-0.0672100749749108,0.0237546505446802,-2.82934387304478,0.00466435519236974,0.0293572039309444,-2.28938951860013,0.0220567305876171
"pricecash_C3",-0.0589672073813763,0.0263440650945297,-2.23834883378043,0.0251983158915059,0.0827103385113268,-0.712936356478592,0.475885140534862
"INTERCEPT_C2_mu",-1.0642972028861,0.314430100467012,-3.38484515733493,0.000712184171880903,2.03604738035977,-0.522727129610333,0.601164156056533
"INTERCEPT_C3_mu",0.218352285892923,0.222987560241307,0.979212856791793,0.327474817345572,1.45682727402069,0.149882068922484,0.880857658827355
"INTERCEPT_C2_sig",0.159732659794104,0.473660145735381,0.337230525371966,0.735943127732937,1.42090837649658,0.112415875953905,0.910493667925873
"INTERCEPT_C3_sig",-0.744414283836421,0.937542061174858,-0.794006279466092,0.427191775701692,8.50418585141143,-0.0875350441351034,0.930246231135188
"tau_SOCIALBARS_C2",0.16041446555731,0.306934125726793,0.522634833052411,0.601228395524747,1.1677520531809,0.137370313432846,0.890738095015707
"tau_SOCIALBARS_C3",-0.392815861658824,0.328720886567555,-1.19498297099566,0.232093683491708,1.61944754799941,-0.242561645262355,0.80834499657084
"tau_FEARSURGERY_C2",-0.273042958661059,0.275838201030865,-0.989866369634954,0.322239439285725,0.415337243264886,-0.657400613811371,0.510923357050382
"tau_FEARSURGERY_C3",-0.221128280588285,0.26861778393465,-0.823207895431382,0.410389779748392,0.428942156660091,-0.515520046595735,0.606189664898829
"tau_PRIVACY_C2",-0.271193592989578,0.315579477757641,-0.859351168575827,0.390146801842859,1.48470198809172,-0.18265860432917,0.855065898182449
"tau_PRIVACY_C3",-0.312938509653811,0.407363352092372,-0.768204866850297,0.442365482554103,2.757996345159,-0.113465889903407,0.909661204316206
"tau_TRAVELCOST_C2",-0.0767275743601477,0.425138657831471,-0.180476587924317,0.856778432730813,3.02753988109455,-0.0253432084707694,0.979781209611231
"tau_TRAVELCOST_C3",-0.63946480449793,0.366685870712238,-1.74390358498367,0.0811759034142114,2.18808321179254,-0.292248850981341,0.770096363400292
"tau_REASSURANCE_C2",-0.434557931141221,0.436456608675921,-0.995649790845279,0.31942033350176,2.95945572138337,-0.146837111973444,0.883260591043423
"tau_REASSURANCE_C3",1.26353768014265,0.318045352267935,3.97282233848897,7.10260248337757e-05,1.12683741384754,1.12131321219478,0.262154563577227
"SOCIALBARS_lambda01",7.92959012484767,0.629344080385177,12.599769143764,0,3.066775730035,2.58564395406807,0.00971972757102479
"SOCIALBARS_lambda02",7.91454772704267,0.775367467562626,10.2074797539831,0,6.83530198237683,1.15789291350235,0.246907739798626
"SOCIALBARS_lambda03",3.28399235586168,0.300225329200323,10.938425364072,0,2.45745755808948,1.33633736422076,0.181439029050168
