"","Estimate","Std.err.","t-ratio(0)","p-val(0)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"neither",-1.49699633462811,0.128100413974294,-11.6861162909943,0,0.147374030250736,-10.1578027830357,0
"permhc",0.810863227230619,0.0758919352179294,10.6844452562998,0,0.0830425936299471,9.7644256012038,0
"dist5",-0.175541389352829,0.104189008353875,-1.68483597383524,0.0920202222019122,0.0855197872068303,-2.05264062372232,0.0401074445836074
"dist15",-0.222826719936525,0.093331320994354,-2.38748061810895,0.016964297242106,0.0823334439643797,-2.70639377156296,0.00680183398853762
"avail",0.0729293734807352,0.0126681955985785,5.75688723095804,8.56791038117422e-09,0.0120491122207502,6.05267609302709,1.42459133378736e-09
"somepriv",-0.0939521812908441,0.0479346414753013,-1.96000592471843,0.0499950978081822,0.0450833263124417,-2.08396737720118,0.0371631347829395
"notpriv",-0.154270087816242,0.0471080472216412,-3.27481389942589,0.00105731601035886,0.0425412398361011,-3.62636557868551,0.000287438340220048
"device",-0.541458471577483,0.0400774684366006,-13.5102962512222,0,0.0804145733551433,-6.73333761513828,1.65814029173816e-11
"voucher",0.160215801949168,0.121384608577936,1.3199021179551,0.186867700376231,0.09129720461238,1.75488179106245,0.0792795294036492
"cash",0.415053531881627,0.128559627547602,3.22849046624646,0.00124445406885187,0.114419630890769,3.6274678449003,0.000286214406074237
"pricenone",-0.0184307448916271,0.015397375495599,-1.19700561286533,0.231304367024361,0.0176980741500404,-1.04139833155717,0.297690716566073
"pricevoucher",-0.0348659419298158,0.0148365897860575,-2.3499970298148,0.0187735608757673,0.0126985436736881,-2.74566460735647,0.00603884645024277
"pricecash",-0.027648234483982,0.0156871832634513,-1.76247284293529,0.0779894408163813,0.0134302781449301,-2.05864943269392,0.0395278336394529
