"neither","permhc","dist5","dist15","avail","somepriv","notpriv","device","voucher","cash","pricenone","pricevoucher","pricecash","logLike"
0,0,0,0,0,0,0,0,0,0,0,0,0,-5352.43907039103
0,0,0,0,0,0,0,0,0,0,0,0,0,-5352.43907039103
0,0,0,0,0,0,0,0,0,0,0,0,0,-5352.43907039103
-0.0176383999641985,0.0169941333238967,0.0086784000042826,0.00877226666780189,0.0576768000028096,0.00566613334231079,0.00458666667109356,-0.000204799987841398,0.00997973333578557,0.00946773333707825,-0.013909333338961,-0.0917162666562945,-0.0886271999916062,-4271.77066081854
-0.0395618252279647,0.0457308539989984,0.0297613584325061,0.0125183708463888,0.118742441436784,0.0125395553240998,0.0100830535471265,-0.00318925494766312,0.0141871107424795,0.0116886003581714,0.0635050547867922,-0.0830511169741441,-0.0821229559952512,-4212.76948897594
-0.0943772517276697,0.177489031404363,0.0974510015602126,0.031219858514875,0.0531052409408425,0.0306752175112248,0.0139766422269849,-0.0677809849598026,0.0411217963072225,0.0179268123831948,0.118854361751785,-0.110346062413519,-0.0710576045559594,-4190.65376870765
-0.109815165188152,0.214440858385577,0.116676186459453,0.035970592220133,0.0369318424740011,0.0360928607294877,0.0148881050639448,-0.0867857818735222,0.0473174164968491,0.0213429258153526,0.129930937235672,-0.103872720785093,-0.0800494521208098,-4169.17073289776
-0.223398224866959,0.470011857169249,0.258328575556291,0.0569547191260711,0.0591563562033916,0.085739336853605,0.0121810511250393,-0.264916364527291,0.100822611075468,0.0462245602516598,0.0558538627149175,-0.049335717305482,-0.0338698344374636,-4061.99546943115
-0.287168827008389,0.515994579859736,0.176136752589288,0.151820644341909,0.072462284714145,-0.0439011289130747,0.0159898591416931,-0.400080170170828,0.128909386768286,0.0893187376165684,0.057097003819556,-0.0340576968186595,-0.0234725660725541,-4045.77103018472
-0.359900367945018,0.514227141995631,0.153641832614055,0.149069450381359,0.069641517980161,-0.0796018925814769,-0.0672083562580096,-0.411577278201045,0.149946986145276,0.140026754741639,0.0579179090293745,-0.0304858630029881,-0.017742105721225,-4038.52847699012
-0.473993668248249,0.503179951098194,0.142376999782064,0.101553476579325,0.0599433450690513,-0.136452218765184,-0.0648057308375193,-0.398384488966207,0.17844148134026,0.204124775024278,0.0494094348993379,-0.0254775856939822,-0.00810420269277916,-4032.43830357205
-0.871974170892778,0.422276582550843,-0.0930965785872469,-0.00570704136102115,0.0160975801116101,0.0157541842100104,0.00527623909211031,-0.469504779043559,0.234658083020847,0.378598743400325,0.0535137858711507,-0.0147227238937149,0.0150490459564359,-4028.8481620464
-0.953522647644654,0.448515853885984,-0.203941225596207,-0.187645933555468,0.0129435385049959,0.0155712730945886,-0.00565179726051678,-0.561333868237997,0.14156092419103,0.385462078795165,0.0717961161273078,-0.0327072949125912,0.00794747481999019,-4027.36880474211
-1.25045390858121,0.851388037400829,-0.773769624163786,-0.650562116169657,0.0279301311603401,0.00263325896888525,-0.0365405741405491,-0.52305405255643,-0.265475153756531,0.3788902264861,0.0498371631740538,-0.0626615458301917,0.0250904957651392,-4016.39768340124
-0.520815147291703,1.25790149467434,-0.853669724468188,-0.858681142022743,0.0759101932906727,0.099941613574978,0.032477948985982,-0.53389870454221,-0.0218091554629291,1.75515947162858,0.0896667634317417,-0.111070549093154,0.0853257837402324,-3865.91099851161
-1.39706170021887,0.76788956232297,-0.1214817766865,-0.175017728853313,0.0541907218312834,-0.118615270923376,-0.190983993977427,-0.529198815172805,-0.0361497215252529,0.291670954373578,-0.0579732270283294,-0.0457980573625429,-0.0429797590940606,-3726.61737552233
-1.34549077021412,0.825961046934966,-0.235008845565586,-0.294306007088616,0.0672016326258294,-0.13321801827959,-0.215969392042699,-0.517727636667579,0.310507529375943,0.122113047754365,-0.0465986209606591,-0.0166008785300602,-0.0717925850945247,-3726.19199917365
-1.36546514073272,0.851060499101215,-0.167293831378027,-0.226419457304407,0.0760680138786695,-0.0843176645397014,-0.152904683036662,-0.572239778103909,0.17156486173873,0.430071756559797,-0.0283836843469506,-0.0291741272918355,-0.0226693470639565,-3705.87139014213
-1.45032664516955,0.828070910769569,-0.175003270658514,-0.225029505204401,0.0732860584518138,-0.0908420036951192,-0.154177410827907,-0.552476312558254,0.149445724679011,0.440412639970349,-0.0219756560200799,-0.0336464704499179,-0.0224320636074418,-3703.54824322568
-1.49550733742377,0.810518151179638,-0.176966181304405,-0.223088109262538,0.0727063869353785,-0.0939753747587465,-0.154474399324315,-0.541136770891429,0.158636323750243,0.416983904835447,-0.0184564593466057,-0.0349424422604006,-0.0272196502133493,-3703.08404730807
-1.49682521018097,0.810559981775624,-0.175743270255293,-0.222816264909128,0.0729128046991159,-0.0940218363593274,-0.154300018520744,-0.541273191504517,0.160195378396768,0.414982094086605,-0.0183826103253929,-0.0348915621992009,-0.0276547965568767,-3703.08073161677
-1.49694262271069,0.810805552776184,-0.175519129759361,-0.222801996536699,0.0729318399774546,-0.0939657356351768,-0.154269205264764,-0.541431774168889,0.160241203807802,0.414999255353612,-0.0184200064256921,-0.0348700585764615,-0.0276594054198947,-3703.08066251687
-1.49699633462811,0.810863227230619,-0.175541389352829,-0.222826719936525,0.0729293734807352,-0.0939521812908441,-0.154270087816242,-0.541458471577483,0.160215801949168,0.415053531881627,-0.0184307448916271,-0.0348659419298158,-0.027648234483982,-3703.08066128374
